artist,title,musicChart,year/decade
Pitbull & Ke$ha,Timber,chart2000,2010s
David Guetta & Sia,Titanium,chart2000,2010s
Mariah Carey,All I Want For Christmas Is You,chart2000,2010s
5 Seconds of Summer,Youngblood,chart2000,2010s
Ellie Goulding,Love Me Like You Do,chart2000,2010s
Calvin Harris,This Is What You Came For,chart2000,2010s
Walk the Moon,Shut Up and Dance,chart2000,2010s
Rihanna & Drake,Work,chart2000,2010s
Jennifer Lopez,On The Floor,chart2000,2010s
Bruno Mars,Locked Out Of Heaven,chart2000,2010s
Bastille,Pompeii,chart2000,2010s
Lizzo,Truth Hurts,chart2000,2010s
Charlie Puth,Attention,chart2000,2010s
Clean Bandit & Jess Glynne,Rather Be,chart2000,2010s
Clean Bandit,Rockabye,chart2000,2010s
Katy Perry,Roar,chart2000,2010s
Post Malone,Psycho ft. Ty Dolla $ign,chart2000,2010s
"Calvin Harris, Dua Lipa",One Kiss,chart2000,2010s
Bruno Mars,Grenade,chart2000,2010s
Lorde,Royals,chart2000,2010s
Fetty Wap,Trap Queen,chart2000,2010s
"Zedd, Maren Morris & Grey",The Middle,chart2000,2010s
Katy Perry,Firework,chart2000,2010s
Taio Cruz,Dynamite,chart2000,2010s
Rihanna & Eminem,Love The Way You Lie,chart2000,2010s
P!nk,Just Give Me A Reason,chart2000,2010s
Bruno Mars,24K Magic,chart2000,2010s
Ed Sheeran,Photograph,chart2000,2010s
fun.,We Are Young,chart2000,2010s
Desiigner,Panda,chart2000,2010s
will.i.am & Britney Spears,Scream & Shout,chart2000,2010s
Maroon 5,Sugar,chart2000,2010s
Drake,Hotline Bling,chart2000,2010s
Major Lazer,Cold Water,chart2000,2010s
Shawn Mendes,Treat You Better,chart2000,2010s
DNCE,Cake By The Ocean,chart2000,2010s
Khalid & Normani,Love Lies,chart2000,2010s
Imagine Dragons,Demons,chart2000,2010s
Rihanna,Only Girl (In The World),chart2000,2010s
Fifth Harmony,Work From Home,chart2000,2010s
Magic!,Rude,chart2000,2010s
Shawn Mendes,There's Nothing Holdin' Me Back,chart2000,2010s
Mr Probz,Waves,chart2000,2010s
Ed Sheeran,Castle On The Hill,chart2000,2010s
Jason Derulo,Want To Want Me,chart2000,2010s
Marshmello & Anne-Marie,Friends,chart2000,2010s
Ke$ha,Tik-Toc,chart2000,2010s
Kygo & Selena Gomez,It Ain't Me,chart2000,2010s
Flo Rida,Good Feeling,chart2000,2010s
Drake,In My Feelings,chart2000,2010s
Ariana Grande,"Thank U, Next",chart2000,2010s
Kendrick Lamar,Humble.,chart2000,2010s
Justin Timberlake,Mirrors,chart2000,2010s
XXXTentacion,Sad!,chart2000,2010s
Rihanna & Mikky Ekko,Stay,chart2000,2010s
Shakira & Freshly Ground,Waka Waka (This Time For Africa),chart2000,2010s
Taylor Swift,Blank Space,chart2000,2010s
Drake,Nice For What,chart2000,2010s
Khalid,Better,chart2000,2010s
The Weeknd,Earned It (Fifty Shades Of Grey),chart2000,2010s
Jason Derulo,Talk Dirty,chart2000,2010s
Chris Brown & Drake,No Guidance,chart2000,2010s
Train,"Hey, Soul Sister",chart2000,2010s
Maroon 5,One More Night,chart2000,2010s
fun.,Some Nights,chart2000,2010s
Katy Perry,California Gurls ft. Snoop Dogg,chart2000,2010s
G-Eazy & Bebe Rexha,"Me, Myself & I",chart2000,2010s
The Weeknd,I Feel It Coming ft. Daft Punk,chart2000,2010s
Ariana Grande,No Tears Left To Cry,chart2000,2010s
Kungs,This Girl,chart2000,2010s
Foster the People,Pumped Up Kicks,chart2000,2010s
Lady GaGa,Bad Romance,chart2000,2010s
Post Malone & Quavo,Congratulations,chart2000,2010s
Maroon 5 & Wiz Khalifa,Payphone,chart2000,2010s
Ed Sheeran & Khalid,Beautiful People,chart2000,2010s
Rag'n'Bone Man,Human,chart2000,2010s
Sam Smith,I'm Not The Only One,chart2000,2010s
Miley Cyrus,Wrecking Ball,chart2000,2010s
Iggy Azalea & Charli XCX,Fancy,chart2000,2010s
DJ Snake,Taki Taki,chart2000,2010s
Eminem ft. Rihanna,The Monster,chart2000,2010s
Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),chart2000,2010s
Cee Lo Green,F**k You/Forget You,chart2000,2010s
Nico & Vinz,Am I Wrong,chart2000,2010s
The Black Eyed Peas,I Gotta Feeling,chart2000,2010s
DJ Khaled,Wild Thoughts,chart2000,2010
DJ Khaled,I'm The One,chart2000,2010s
Dynoro & Gigi D'Agostino,In My Mind,chart2000,2010s
David Guetta & Usher,Without You,chart2000,2010s
Nicki Minaj,Starships,chart2000,2010s
Dean Lewis,Be Alright,chart2000,2010s
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,chart2000,2010s
Skrillex & Diplo,Where Are U Now,chart2000,2010s
Avicii,"Hey, Brother",chart2000,2010s
Vance Joy,Riptide,chart2000,2010s
Alan Walker,Faded,chart2000,2010s
Cardi B,Bodak Yellow,chart2000,2010s
Sam Smith,Too Good At Goodbyes,chart2000,2010s
Taylor Swift,I Knew You Were Trouble,chart2000,2010s
Alex Clare,Too Close,chart2000,2010s
flo rida,Whistle,chart2000,2010s
Bruno Mars,When I Was Your Man,chart2000,2010s
Ellie Goulding,Burn,chart2000,2010s
Future,Mask Off,chart2000,2010s
Meek Mill,Going Bad,chart2000,2010s
Capital Cities,Safe And Sound,chart2000,2010s
Coldplay,Paradise,chart2000,2010s
Martin Garrix,Animals,chart2000,2010s
Twenty One Pilots,Ride,chart2000,2010s
Usher,DJ Got Us Fallin' In Love ft. Pitbull,chart2000,2010s
Luis Fonsi,Despacito ft. Daddy Yankee,YouTube,2017
Ed Sheeran,Shape of You,YouTube,2017
J Balvin & Willy William,Mi Gente,YouTube,2017
Ed Sheeran,Perfect,YouTube,2017
Dua Lipa,New Rules,YouTube,2017
"Natti Natasha, Ozuna",Criminal,YouTube,2017
Luis Fonsi & Demi Lovato,Échame La Culpa,YouTube,2017
The Chainsmokers & Coldplay,Something Just Like This,YouTube,2017
Becky G & Bad Bunny,Mayores,YouTube,2017
Camila Cabello,Havana,YouTube,2017
Bruno Mars,That’s What I Like,YouTube,2017
Maluma,Felices los 4,YouTube,2017
Piso 21,Déjala Que Vuelva,YouTube,2017
Maluma,Corazón,YouTube,2017
Jason Derulo,Swalla,YouTube,2017
MC Fioti,Bum Bum Tam Tam,YouTube,2017
Imagine Dragons,Thunder,YouTube,2017
Una Lady Como Tú,MTZ Manuel Turizo,YouTube,2017
DJ Khaled,I'm The One,YouTube,2017
Imagine Dragons,Believer,YouTube,2017
Carlos Vives,Robarte un Beso,YouTube,2017
ZAYN,Dusk Till Dawn,YouTube,2017
El Amante,Nicky Jam,YouTube,2017
Wisin,Escápate Conmigo,YouTube,2017
Ozuna,Se Preparó,YouTube,2017
Enrique Iglesias,SUBEME LA RADIO,YouTube,2017
Chris Jeday,"Ahora Dice",YouTube,2017
Post Malone,Congratulations,YouTube,2017
Sam Smith,Too Good At Goodbyes,YouTube,2017
Taylor Swift,Look What You Made Me Do,YouTube,2017
Charlie Puth,Attention,YouTube,2017
French Montana,Unforgettable,YouTube,2017
Lil Pump,Gucci Gang,YouTube,2017
Ozuna,Síguelo Bailando,YouTube,2017
BTS,DNA,YouTube,2017
Clean Bandit,Symphony,YouTube,2017
J Balvin,Si Tu Novio Te Deja Sola,YouTube,2017
Christian Nodal,Adiós Amor,YouTube,2017
Ed Sheeran,Shape Of You,YouTube,2017
Guru Randhawa,High Rated Gabru,YouTube,2017
DJ Khaled,Wild Thoughts,YouTube,2017
Ozuna,El Farsante,YouTube,2017
Bebe Rexha,Meant to Be,YouTube,2017
Shawn Mendes,There's Nothing Holdin' Me Back,YouTube,2017
Camila Cabello,Havana,YouTube,2017
Katy Perry,Bon Appétit,YouTube,2017
Cardi B,Bodak Yellow,YouTube,2017
Guru Randhawa,Lahore Bhushan Kumar,YouTube,2017
Wolfine,Bella,YouTube,2017
'Vishal Dadlani, Neha Bhasin',YouTube,2017
Ozuna,Tu Foto,YouTube,2017
Karol G & Bad Bunny,Ahora Me Llama,YouTube,2017
"Nacho, Yandel, Bad Bunny",Báilame - Remix,YouTube,2017
Shakira,Perro Fiel,YouTube,2017
Bad Bunny,Sensualidad,YouTube,2017
BLACKPINK,마지막처럼 (AS IF IT'S YOUR LAST),YouTube,2017
Ayo & Teo,Rolex,YouTube,2017
Alan Walker,The Spectre,YouTube,2017
Shakira,Me Enamoré,YouTube,2017
"Farruko, Bad Bunny, Rvssian",Krippy Kush,YouTube,2017
Kendrick Lamar,HUMBLE.,YouTube,2017
BANDA MS,EL COLOR DE TUS OJOS,YouTube,2017
Daddy Yankee ft Ozuna,La Rompe Corazones,YouTube,2017
Esperándote,MTZ Manuel Turizo,YouTube,2017
Imagine Dragons,Whatever It Takes,YouTube,2017
Simone & Simaria,Loka (Ao Vivo) ft. Anitta,YouTube,2017
Luis Fonsi,Despacito (Remix) ft. Justin Bieber,YouTube,2017
The Weeknd,I Feel It Coming ft. Daft Punk,YouTube,2017
Sean Paul,No Lie,YouTube,2017
Jonas Blue,Mama ft. William Singe,YouTube,2017
Balti,Ya Lili feat. Hamouda,YouTube,2017
Khalid,Young Dumb & Broke,YouTube,2017
"Dev Negi, Neha Kakkar, Monali Thakur, Ikka",Badri Ki Dulhania (Title Track),YouTube,2017
"Silvestre Dangond, Nicky Jam",Cásate Conmigo,YouTube,2017
Katy Perry,Chained To The Rhythm,YouTube,2017
BTS,MIC Drop (Steve Aoki Remix),YouTube,2017
Udit Narayan & Neha Kakkar,Cheez Badi,YouTube,2017
Altamash Faridi,Jaha Tum Rahoge,YouTube,2017
Post Malone,rockstar,YouTube,2017
Atif Aslam,Dil Diyan Gallan,YouTube,2017
"Romeo Santos, Daddy Yankee, Nicky Jam",Bella y Sensual,YouTube,2017
Katy Perry,Swish Swish,YouTube,2017
Harry Styles,Sign of the Times,YouTube,2017
Daddy Yankee & Bad Bunny,Vuelve,YouTube,2017
"ZAYN, Taylor Swift",I Don’t Wanna Live Forever (Fifty Shades Darker),YouTube,2017
L'Algérino,Les Menottes (Tching Tchang Tchong),YouTube,2017
MC Kevinho,O Grave Bater,YouTube,2017
Charlie Puth,How Long,YouTube,2017
Arcangel,Me Acostumbre,YouTube,2017
3 Daqat,Abu,YouTube,2017
Martin Garrix & Dua Lipa,Scared To Be Lonely,YouTube,2017
"Migos, Nicki Minaj, Cardi B",MotorSport,YouTube,2017
Kygo & Selena Gomez,It Ain't Me,YouTube,2017
Greeicy ft Mike Bahía,Amantes,YouTube,2017
Calvin Harris,Feels,YouTube,2017
Daddy Yankee ft Ozuna,La Rompe Corazones,YouTube,2017
"Alex Sensation, Ozuna",Que Va,YouTube,2017
Gusttavo Lima,Apelido Carinhoso,YouTube,2017
Melendi,Destino o Casualidad,YouTube,2017
Mithoon,Phir Bhi Tumko Chaahunga,YouTube,2017
PSY,GANGNAM STYLE,YouTube,2012
Passenger,Let Her Go,YouTube,2012
Rihanna,Diamonds,YouTube,2012
MACKLEMORE & RYAN LEWIS,THRIFT SHOP,YouTube,2012
PULCINO PIO,El Pollito Pio,YouTube,2012
Carly Rae Jepsen,Call Me Maybe,YouTube,2012
Imagine Dragons,Radioactive,YouTube,2012
Daddy Yankee,Limbo,YouTube,2012
Katy Perry,Wide Awake,YouTube,2012
Justin Bieber,Beauty And A Beat ft. Nicki Minaj,YouTube,2012
Maroon 5,One More Night,YouTube,2012
Ricardo Arjona,Fuiste tú,YouTube,2012
Katy Perry,Part Of Me,YouTube,2012
Justin Bieber,Boyfriend,YouTube,2012
SKRILLEX,Bangarang feat,YouTube,2012
will.i.am & Britney Spears,Scream & Shout,YouTube,2012
PSY (ft. HYUNA),오빤 딱 내 스타일,YouTube,2012
AC/DC,Thunderstruck,YouTube,2012
Swedish House Mafia ft. John Martin,Don't You Worry Child,YouTube,2012
One Direction,One Thing,YouTube,2012
One Direction,Live While We're Young,YouTube,2012
Ed Sheeran,Give Me Love,YouTube,2012
Lil Wayne,Mirror,YouTube,2012
Taylor Swift,We Are Never Ever Getting Back Together,YouTube,2012
Bruno Mars,Locked Out Of Heaven,YouTube,2012
AC/DC,Back In Black,YouTube,2012
Maroon 5 & Wiz Khalifa,Payphone,YouTube,2012
Wisin & Yandel,Follow The Leader,YouTube,2012
David Guetta,She Wolf,YouTube,2012
CantaJuego,Soy Una Taza (Version Mexico),YouTube,2012
LMFAO,Sorry For Party Rocking,YouTube,2012
Jennifer Lopez ft. Pitbull,Dance Again,YouTube,2012
Wisin & Yandel,Algo Me Gusta De Ti,YouTube,2012
Flo Rida,Wild Ones ft. Sia,YouTube,2012
Flo Rida,Whistle,YouTube,2012
Rihanna,Where Have You Been,YouTube,2012
J Balvin,Tranquila,YouTube,2012
Imagine Dragons,It's Time,YouTube,2012
Justin Bieber,As Long As You Love Me ft. Big Sean,YouTube,2012
Taylor Swift,I Knew You Were Trouble,YouTube,2012
"Skrillex & Damian ""Jr. Gong"" Marley",Make It Bun Dem,YouTube,2012
BIGBANG,FANTASTIC BABY,YouTube,2012
Nicky Romero,Toulouse,YouTube,2012
The Script,Hall of Fame,YouTube,2012
CASTLE OF GLASS,Linkin Park,YouTube,2012
P!nk,Try,YouTube,2012
Nicki Minaj,Right By My Side,YouTube,2012
Demi Lovato,Give Your Heart a Break,YouTube,2012
Adele,Skyfall,YouTube,2012
Metallica,Enter Sandman,YouTube,2012
Romeo Santos,La Diabla/Mi Santa ft. Tomatito,YouTube,2012
Reik,Creo en Ti,YouTube,2012
Nicki Minaj,Starships,YouTube,2012
David Guetta,Turn Me On,YouTube,2012
Tom and Angela,You Get Me (from Talking Friends),YouTube,2012
Owl City & Carly Rae Jepsen,Good Time,YouTube,2012
Arcangel,Me Prefieres a Mi,YouTube,2012
Patati Patatá,Comer Comer (DVD Coletânea de Sucessos),YouTube,2012
Reik,Te Fuiste de Aquí,YouTube,2012
One Direction,Little Things,YouTube,2012
Drake,Take Care ft. Rihanna,YouTube,2012
Lana Del Rey,Summertime Sadness,YouTube,2012
Disclosure,Latch feat. Sam Smith,YouTube,2012
Avicii & Nicky Romero,I Could Be The One,YouTube,2012
Roop Kumar Rathod,Tujh Mein Rab Dikhta Hai,YouTube,2012
ไกลแค่ไหน คือ ใกล้,getsunova,YouTube,2012
Zion and Ken-Y,More Ft. Jory (La Formula),YouTube,2012
Alicia Keys,Girl on Fire,YouTube,2012
will.i.am,This Is Love ft. Eva Simons,YouTube,2012
Calvin Harris,Sweet Nothing ft. Florence Welch,YouTube,2012
Of Monsters And Men,Little Talks,YouTube,2012
Jesse & Joy,La De La Mala Suerte,YouTube,2012
Jay-Z & Kanye West,Ni**as In Paris,YouTube,2012
Don Omar,Zumba Campaign Video,YouTube,2012
Lana Del Rey,Blue Jeans,YouTube,2012
Ricardo Montaner,La Gloria de Dios ft. Evaluna Montaner,YouTube,2012
PULCINO PIO,Il Pulcino Pio,YouTube,2012
Río Roma,Me Cambiaste la Vida (Videoclip),YouTube,2012
Chris Brown,Turn Up the Music,YouTube,2012
Cher Lloyd,Want U Back,YouTube,2012
BURN IT DOWN,Linkin Park,YouTube,2012
Labrinth,Beneath Your Beautiful ft. Emeli Sandé,YouTube,2012
Don Omar,Dutty Love ft. Natti Natasha,YouTube,2012
Jennifer Lopez,Goin' In ft. Flo Rida,YouTube,2012
DIE ANTWOORD,BABY'S ON FIRE,YouTube,2012
Nicki Minaj,Pound The Alarm,YouTube,2012
Miley Cyrus,Jolene,YouTube,2012
Arctic Monkeys,R U Mine?,YouTube,2012
Shakira,Addicted to You,YouTube,2012
Coldplay,Princess Of China,YouTube,2012
Tom Odell,Another Love,YouTube,2012
R.I.O. feat. Nicco,Party Shaker,YouTube,2012
Patati Patatá,Superfantástico,YouTube,2012
Crystallize,Lindsey Stirling,YouTube,2012
Solitaria,Alkilados Ft. Dalmata,YouTube,2012
Canserbero,Jeremías 17:5,YouTube,2012
A$AP ROCKY,F**kin' Problems,YouTube,2012
MACKLEMORE & RYAN LEWIS,SAME LOVE,YouTube,2012
Romeo Santos,Rival ft. Mario Domm,YouTube,2012
Wiz Khalifa,See You Again,YouTube,2015
Justin Bieber,Sorry (PURPOSE : The Movement),YouTube,2015
Maroon 5,Sugar,YouTube,2015
Major Lazer,Lean On,YouTube,2015
Alan Walker,Faded,YouTube,2015
Adele,Hello,YouTube,2015
Ellie Goulding,Love Me Like You Do,YouTube,2015
Justin Bieber,What Do You Mean?,YouTube,2015
twenty one pilots,Stressed Out,YouTube,2015
Fifth Harmony,Worth It ft. Kid Ink,YouTube,2015
Silentó,Watch Me (Whip/Nae Nae),YouTube,2015
Drake,Hotline Bling,YouTube,2015
Justin Bieber,Love Yourself,YouTube,2015
The Weeknd,The Hills,YouTube,2015
Taylor Swift,Bad Blood,YouTube,2015
Calvin Harris & Disciples,How Deep Is Your Love,YouTube,2015
David Guetta,Hey Mama,YouTube,2015
Nicky Jam & Enrique Iglesias,El Perdón,YouTube,2015
Joey Montana,Picky,YouTube,2015
Gente de Zona,La Gozadera,YouTube,2015
Shawn Mendes,Stitches,YouTube,2015
Ricky Martin,La Mordidita ft. Yotuel,YouTube,2015
Skrillex and Diplo,"""Where Are Ü Now"" with Justin Bieber",YouTube,2015
Sia,Elastic Heart,YouTube,2015
The Weeknd,Can't Feel My Face,YouTube,2015
Coldplay,Adventure Of A Lifetime,YouTube,2015
OMI,Cheerleader (Felix Jaehn Remix),YouTube,2015
Lukas Graham,7 Years,YouTube,2015
twenty one pilots,Ride,YouTube,2015
Maluma,Borro Cassette,YouTube,2015
HA-ASH,Lo Aprendí de Ti,YouTube,2015
Ed Sheeran,Photograph,YouTube,2015
Ariana Grande,Focus,YouTube,2015
Chino & Nacho,Me Voy Enamorando,YouTube,2015
One Direction,Drag Me Down,YouTube,2015
Cali Y El Dandee,Por Fin Te Encontré,YouTube,2015
J. Balvin,Ginza,YouTube,2015
Saad Lamjarred,LM3ALLEM,YouTube,2015
Post Malone,White Iverson,YouTube,2015
R. City,Locked Away,YouTube,2015
Omarion,Post To Be,YouTube,2015
Kygo,Firestone,YouTube,2015
Avicii,Waiting For Love,YouTube,2015
Taylor Swift,Wildest Dreams,YouTube,2015
Charlie Puth,One Call Away,YouTube,2015
Zara Larsson,Lush Life,YouTube,2015
La Adictiva Banda San José de Mesillas,"Después de Ti, ¿Quién?",YouTube,2015
Little Mix,Black Magic,YouTube,2015
Romeo Santos,Yo También ft. Marc Anthony,YouTube,2015
Charlie Puth,Marvin Gaye ft. Meghan Trainor,YouTube,2015
Meghan Trainor,Like I'm Gonna Lose You,YouTube,2015
Taylor Swift,Style,YouTube,2015
Raymix,Oye Mujer,YouTube,2015
BANDA MS,SOLO CON VERTE,YouTube,2015
Disturbed,The Sound Of Silence,YouTube,2015
Jessie J,Flashlight,YouTube,2015
"Wisin, Carlos Vives",Nota de Amor,YouTube,2015
The Weekend,Earned It (Fifty Shades Of Grey),YouTube,2015
Daddy Yankee,Sígueme y Te Sigo,YouTube,2015
BTS,DOPE(쩔어),YouTube,2015
Palak Muchhal,PREM RATAN DHAN PAYO,YouTube,2015
Maiara & Maraisa,Medo Bobo (Ao Vivo em Goiânia),YouTube,2015
Meghan Trainor,Dear Future Husband,YouTube,2015
Willy William,Ego,YouTube,2015
Duke Dumont,Ocean Drive,YouTube,2015
Adele,When We Were Young,YouTube,2015
Marília Mendonça,Infiel,YouTube,2015
Robin Schulz,Sugar,YouTube,2015
เชือกวิเศษ,LABANOON「Official MV」,YouTube,2015
Yandel,Encantadora,YouTube,2015
Rachel Platten,Fight Song,YouTube,2015
PSY,DADDY(feat. CL of 2NE1) M/V,YouTube,2015
Justin Bieber,I'll Show You,YouTube,2015
Desiigner,Panda,YouTube,2015
Selena Gomez,Good For You,YouTube,2015
Maiara & Maraisa,10% (Ao Vivo em Goiânia),YouTube,2015
Henrique e Juliano,Flor E O Beija-Flor,YouTube,2015
Nicky Jam,El Perdón,YouTube,2015
Maître Gims,Sapés comme jamais,YouTube,2015
Preto no Branco,Ninguém Explica Deus (Ao Vivo),YouTube,2015
Zara Larsson, Never Forget You,YouTube,2015
"Meet Bros Anjjan, Kanika Kapoor",Chittiyaan Kalaiyaan,YouTube,2015
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,YouTube,2015
Plan B,Fanatica Sensual,YouTube,2015
Pia Mia,Do It Again,YouTube,2015
BIGBANG,BANG BANG BANG,YouTube,2015
Maluma,Borro Cassette,YouTube,2015
Dua Lipa,Be The One,YouTube,2015
G-Eazy & Bebe Rexha,"Me, Myself & I",YouTube,2015
One Direction,Perfect,YouTube,2015
Jorge & Mateus,Sosseguei (Como Sempre Feito Nunca),YouTube,2015
Sam Smith,Lay Me Down,YouTube,2015
Juan Magan,He Llorado (Como Un Niño) ft. Gente De Zona,YouTube,2015
Meek Mill Ft. Nicki Minaj & Chris Brown,All Eyes On You,YouTube,2015
Jason Derulo,Want To Want Me,YouTube,2015
Selena Gomez,Same Old Love,YouTube,2015
Anitta,Bang,YouTube,2015
Nicky Jam,Si Tu No Estas,YouTube,2015
Yo Yo Honey Singh,Dheere Dheere,YouTube,2015
OZUNA,CORAZON DE SEDA,YouTube,2015
Maroon 5,Girls Like You,YouTube,2018
Flow La Movie,Te Bote Remix,YouTube,2018
El Chombo,Dame Tu Cosita,YouTube,2018
Pedro Capó & Farruko,Calma,YouTube,2018
Nicky Jam x J. Balvin,X (EQUIS),YouTube,2018
DJ Snake,Taki Taki,YouTube,2018
Becky G,Sin Pijama,YouTube,2018
Daddy Yankee,Dura,YouTube,2018
Ozuna x Romeo Santos,El Farsante (Remix),YouTube,2018
Drake,God's Plan,YouTube,2018
"Cardi B, Bad Bunny & J Balvin",I Like It,YouTube,2018
BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),YouTube,2018
"Thalía, Natti Natasha",No Me Acuerdo,YouTube,2018
Mannat Noor,Laung Laachi,YouTube,2018
BEBE,6ix9ine,YouTube,2018
Bad Bunny feat. Drake,Mia ( ),YouTube,2018
Post Malone & Swae Lee,Sunflower,YouTube,2018
Vaina Loca,Ozuna x Manuel Turizo,YouTube,2018
Tyga,Taste,YouTube,2018
Reik,Me Niego,YouTube,2018
Ariana Grande,no tears left to cry,YouTube,2018
XXXTENTACION,SAD!,YouTube,2018
Los Ángeles Azules,Nunca Es Suficiente ft. Natalia Lafourcade,YouTube,2018
"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,YouTube,2018
"KAROL G, Anuel AA",Culpables,YouTube,2018
Lady Gaga & Bradley Cooper,Shallow,YouTube,2018
Alex Rose,"Toda (Remix) Ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro",YouTube,2018
Bad Bunny,Amorfoda,YouTube,2018
Sebastián Yatra,No Hay Nadie Más,YouTube,2018
"Neha Kakkar, Mika Singh And Kumar Sanu",Aankh Marey,YouTube,2018
Clean Bandit,Solo (feat. Demi Lovato),YouTube,2018
Paulo Londra ft Lenny Tavarez,Nena Maldicion,YouTube,2018
Post Malone,Psycho ft. Ty Dolla $ign,YouTube,2018
"Sebastián Yatra, Mau y Ricky",Ya No Tiene Novio,YouTube,2018
Paulo Londra,Adán y Eva,YouTube,2018
Zé Neto e Cristiano,LARGADO ÀS TRAÇAS,YouTube,2018
"Neha Kakkar, Dhvani Bhanushali, Ikka",DILBAR,YouTube,2018
Marshmello & Anne-Marie,FRIENDS,YouTube,2018
BTS,FAKE LOVE,YouTube,2018
Dynoro & Gigi D’Agostino,In My Mind,YouTube,2018
"J. Balvin, Zion & Lennox",No Es Justo,YouTube,2018
Childish Gambino,This Is America,YouTube,2018
Bruno Mars,Finesse - Remix feat. Cardi B,YouTube,2018
KAROL G,Mi Cama,YouTube,2018
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,YouTube,2018
"David Guetta, Bebe Rexha & J Balvin",Say My Name,YouTube,2018
Amor de Verdade,MC Kekel e MC Rita (KondZilla),YouTube,2018
Anuel AA,Ella Quiere Beber (Remix) ft. Romeo Santos,YouTube,2018
"Calvin Harris, Dua Lipa",One Kiss,YouTube,2018
"Jassi Gill, Neha Kakkar",Nikle Currant,YouTube,2018
Piso 21 ft. Paulo Londra,Te Amo,YouTube,2018
BTS,IDOL,YouTube,2018
"Becky G, Paulo Londra",Cuando Te Besé,YouTube,2018
XXXTENTACION,changes,YouTube,2018
Lil Dicky,Freaky Friday,YouTube,2018
Sofia Reyes,"1, 2, 3",YouTube,2018
"Billie Eilish, Khalid",lovely,YouTube,2018
Dua Lipa,IDGAF,YouTube,2018
Siti Badriah,Lagi Syantik,YouTube,2018
Zé Neto e Cristiano,NOTIFICAÇÃO PREFERIDA,YouTube,2018
Manuel Turizo,Culpables,YouTube,2018
"Zack Knight, Jasmin Walia",Bom Diggy Diggy,YouTube,2018
Jass Manak,Prada,YouTube,2018
Dhvani Bhanushali,Leja Re,YouTube,2018
The Weeknd,Call Out My Name,YouTube,2018
Ozuna,Solita,YouTube,2018
Kanye West & Lil Pump,I Love It,YouTube,2018
米津玄師,Lemon,YouTube,2018
Calum Scott,You Are The Reason,YouTube,2018
Anuel AA & Haze,Amanece ,YouTube,2018
"benny blanco, Halsey & Khalid",Eastside,YouTube,2018
Ava Max,Sweet but Psycho,YouTube,2018
XXXTENTACION,MOONLIGHT,YouTube,2018
Marshmello ft. Bastille,Happier,YouTube,2018
Aya Nakamura,Djadja,YouTube,2018
La Adictiva,En Peligro De Extinción,YouTube,2018
Harrdy Sandhu,Kya Baat Ay,YouTube,2018
Ariana Grande,thank u,YouTube,2018
Guru Randhawa,MADE IN INDIA,YouTube,2018
"Silvestre Dangond, Natti Natasha",Justicia,YouTube,2018
Billie Eilish,when the party's over,YouTube,2018
Lil Pump,ESSKEETIT,YouTube,2018
Travis Scott,SICKO MODE,YouTube,2018
Fuleragem,MC WM (KondZilla),YouTube,2018
Juice WRLD,Lucid Dreams,YouTube,2018
Sebastián Yatra,Por Perro,YouTube,2018
Khalid,Better,YouTube,2018
Marshmello ft. Bastille,Happier,YouTube,2018
Daddy Yankee & Anuel AA,Adictiva,YouTube,2018
Anuel AA,Ella Quiere Beber (Remix) ft. Romeo Santos,YouTube,2018
"Reik, Maluma",Amigos Con Derechos,YouTube,2018
BANDA MS,TU POSTURA,YouTube,2018
Panic! At The Disco,High Hopes,YouTube,2018
Alan Walker,Darkside,YouTube,2018
Zion & Lennox,La Player (Bandolera),YouTube,2018
"Guru Randhawa, Dhvani Bhanushali",ISHARE TERE,YouTube,2018
JENNIE,SOLO,YouTube,2018
Romeo Santos,Sobredosis,YouTube,2018
Shakira,Waka Waka,YouTube,2010
Justin Bieber,Baby ft. Ludacris,YouTube,2010
Rihanna & Eminem,Love The Way You Lie,YouTube,2010
Adele,Rolling in the Deep,YouTube,2010
Bruno Mars,Just The Way You Are,YouTube,2010
Eminem,Not Afraid,YouTube,2010
Katy Perry,Firework,YouTube,2010
Don Omar & Lucenzo,Danza Kuduro,YouTube,2010
a-ha,Take On Me,YouTube,2010
Justin Bieber,Never Say Never ft. Jaden Smith,YouTube,2010
Bruno Mars,Grenade,YouTube,2010
Whitney Houston,I Will Always Love You,YouTube,2010
Israel 'IZ' Kamakawiwoʻole,Somewhere over the Rainbow,YouTube,2010
Rihanna,What's My Name?,YouTube,2010
Rihanna,Only Girl (In The World),YouTube,2010
The Police,Every Breath You Take,YouTube,2010
Aqua,Barbie Girl,YouTube,2010
"Enrique Iglesias, Juan Luis Guerra",Cuando Me Enamoro,YouTube,2010
The Chipettes,Single Ladies,YouTube,2010
Shakira,Loca (Spanish Version) ft. El Cata,YouTube,2010
Rihanna,Rude Boy,YouTube,2010
B.o.B,Airplanes (feat. Hayley Williams of Paramore),YouTube,2010
